payroll_id,employee_id,pay_period_id,hours_worked_regular,hours_worked_overtime,gross_pay,total_deductions,total_taxes,net_pay,created_at,updated_at
1,1,1,22,2,857.93,95.02,140.48,622.44,2025-03-21 00:10:54.544547,2025-03-21 00:10:54.544549
2,1,3,16,5,654.0,38.12,109.98,505.89,2025-03-21 00:10:54.544758,2025-03-21 00:10:54.544759
3,1,4,20,3,1042.23,75.84,238.84,727.55,2025-03-21 00:10:54.544891,2025-03-21 00:10:54.544892
4,1,7,21,5,1224.73,101.16,331.92,791.65,2025-03-21 00:10:54.545171,2025-03-21 00:10:54.545172
5,1,8,30,7,1331.52,143.18,268.84,919.49,2025-03-21 00:10:54.545320,2025-03-21 00:10:54.545321
6,1,9,40,0,743.86,50.26,206.12,487.48,2025-03-21 00:10:54.545404,2025-03-21 00:10:54.545405
7,2,3,35,1,853.84,106.36,151.81,595.67,2025-03-21 00:10:54.545962,2025-03-21 00:10:54.545964
8,2,4,39,3,776.07,101.22,207.69,467.16,2025-03-21 00:10:54.546100,2025-03-21 00:10:54.546101
9,2,6,31,0,991.96,95.71,216.72,679.53,2025-03-21 00:10:54.546256,2025-03-21 00:10:54.546257
10,2,7,32,0,925.96,95.59,189.46,640.91,2025-03-21 00:10:54.546386,2025-03-21 00:10:54.546387
11,2,9,18,0,772.96,113.68,208.07,451.21,2025-03-21 00:10:54.546576,2025-03-21 00:10:54.546577
12,3,2,38,0,2130.75,317.2,451.15,1362.4,2025-03-21 00:10:54.546977,2025-03-21 00:10:54.546979
13,3,3,36,0,1661.93,124.88,299.98,1237.06,2025-03-21 00:10:54.547082,2025-03-21 00:10:54.547083
14,3,4,37,0,1764.91,154.25,382.38,1228.28,2025-03-21 00:10:54.547183,2025-03-21 00:10:54.547184
15,3,5,33,0,1684.56,251.49,401.28,1031.79,2025-03-21 00:10:54.547255,2025-03-21 00:10:54.547256
16,3,6,35,0,757.82,51.21,150.56,556.05,2025-03-21 00:10:54.547320,2025-03-21 00:10:54.547321
17,3,7,20,0,465.32,69.2,107.78,288.34,2025-03-21 00:10:54.547398,2025-03-21 00:10:54.547399
18,3,8,36,2,788.12,69.7,158.49,559.93,2025-03-21 00:10:54.547474,2025-03-21 00:10:54.547475
19,4,1,32,7,1775.84,158.52,405.67,1211.64,2025-03-21 00:10:54.548418,2025-03-21 00:10:54.548420
