time_entry_id,employee_id,business_id,date,clock_in,clock_out,break_minutes,total_hours_worked,pay_period,overtime_hours,overtime_reason,notes,created_at,updated_at
TE0001,EMP001,BIZ001,2025-03-11,2025-03-11T08:00:00Z,2025-03-11T16:47:00Z,30,8.28,2025-03-16 to 2025-03-31,0.283333333,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0002,EMP001,BIZ001,2025-03-01,2025-03-01T08:00:00Z,2025-03-01T16:05:00Z,47,7.3,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0003,EMP001,BIZ001,2025-03-21,2025-03-21T08:00:00Z,2025-03-21T16:16:00Z,49,7.45,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0004,EMP001,BIZ001,2025-03-06,2025-03-06T08:00:00Z,2025-03-06T16:42:00Z,43,7.98,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0005,EMP001,BIZ001,2025-03-03,2025-03-03T08:00:00Z,2025-03-03T16:54:00Z,20,8.57,2025-03-01 to 2025-03-15,0.566666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0006,EMP001,BIZ001,2025-03-07,2025-03-07T08:00:00Z,2025-03-07T16:24:00Z,58,7.43,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0007,EMP001,BIZ001,2025-03-01,2025-03-01T08:00:00Z,2025-03-01T16:53:00Z,32,8.35,2025-03-01 to 2025-03-15,0.35,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0008,EMP001,BIZ001,2025-03-15,2025-03-15T08:00:00Z,2025-03-15T16:21:00Z,21,8,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0009,EMP002,BIZ001,2025-03-22,2025-03-22T08:00:00Z,2025-03-22T16:23:00Z,41,7.7,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0010,EMP002,BIZ001,2025-03-31,2025-03-31T08:00:00Z,2025-03-31T16:16:00Z,19,7.95,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0011,EMP002,BIZ001,2025-03-13,2025-03-13T08:00:00Z,2025-03-13T16:31:00Z,46,7.75,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0012,EMP002,BIZ001,2025-03-17,2025-03-17T08:00:00Z,2025-03-17T16:52:00Z,37,8.25,2025-03-01 to 2025-03-15,0.25,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0013,EMP002,BIZ001,2025-03-31,2025-03-31T08:00:00Z,2025-03-31T16:52:00Z,20,8.53,2025-03-16 to 2025-03-31,0.533333333,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0014,EMP002,BIZ001,2025-03-09,2025-03-09T08:00:00Z,2025-03-09T16:05:00Z,52,7.22,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0015,EMP002,BIZ001,2025-03-20,2025-03-20T08:00:00Z,2025-03-20T16:58:00Z,51,8.12,2025-03-16 to 2025-03-31,0.116666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0016,EMP002,BIZ001,2025-03-01,2025-03-01T08:00:00Z,2025-03-01T16:23:00Z,41,7.7,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0017,EMP003,BIZ001,2025-03-03,2025-03-03T08:00:00Z,2025-03-03T16:29:00Z,25,8.07,2025-03-16 to 2025-03-31,0.066666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0018,EMP003,BIZ001,2025-03-30,2025-03-30T08:00:00Z,2025-03-30T16:24:00Z,38,7.77,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0019,EMP003,BIZ001,2025-03-05,2025-03-05T08:00:00Z,2025-03-05T16:50:00Z,30,8.33,2025-03-16 to 2025-03-31,0.333333333,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0020,EMP003,BIZ001,2025-03-02,2025-03-02T08:00:00Z,2025-03-02T16:45:00Z,21,8.4,2025-03-16 to 2025-03-31,0.4,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0021,EMP003,BIZ001,2025-03-14,2025-03-14T08:00:00Z,2025-03-14T16:09:00Z,55,7.23,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
